exercise, 17/09/2024,18/09/2024,20/09/2024,21/09/2024,24/09/2024,25/09/2024,10/10/2024,29/10/2024,31/10/2024,02/11/2024,03/11/2024,05/11/2024,06/11/2024,09/11/2024,11/11/2024,13/11/2024,16/11/2024,18/11/2024,20/11/2024,23/11/2024,02/12/2024,03/12/2024,05/12/2024,07/12/2024,09/12/2024,10/12/2024,12/12/2024,14/12/2024,16/12/2024,18/12/2024,21/12/2024,02/01/2025,03/01/2025,05/01/2025,07/01/2025,10/01/2024,12/01/2025,14/01/2025,16/01/2025,17/01/2025,19/01/2025,21/01/2025,23/01/2025,26/01/2025,28/01/2025,30/01/2025,01/02/2025,03/02/2025,04/02/2025,06/02/2025,07/02/2025,09/02/2025,10/02/2025,11/02/2025,20/02/2025,24/02/2025,27/02/2025,28/02/2025,07/03/2025,03/03/2025,18/03/2025,23/03/2025,24/03/2025,25/03/2025,27/03/2025,31/03/2025,01/04/2025,03/04/2025,05/04/2025,07/04/2025,09/04/2025,11/04/2025,12/04/2025,15/04/2025,17/04/2025,22/04/2025,30/04/2025,02/05/2025,04/05/2025,05/05/2025,07/05/2025,09/05/2025,10/05/2025,12/05/2025,14/02/2025,16/05/2025
DB Hammer Curls,"2x10@12, 1x7@12, 1x10@10",,,,"1x10@12, 1x8@12, 2x10@10",,,,,,"2x10@12, 1x8@12, 1x10@10",2x10@12,,,,,,3x10@10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2x8@14, 1x8@12, 1x8@10",,,3x10@14,,3x10@14,"1x10@14, 2x12@14",,,,,,,3x10@16,,,,,,,"2x10@16, 1x7@16",,,"1x12@14, 2x9@14, 1x10@12","1x13@14, 1x10@14, ",,
DB bicep curls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3x12@10,,,,,,,,,"1x8@12, 2x8@10",,,,,,,3x12@10,,3x12@12,,,,,,,"2x10@12, 1x9@12",,,,,,,,,,,"2x10@14, 1x13@12",,,,2x12@14,,,,"2x7@16, 1x6@16",,"1x10@16, 1x6@16, 1x8@14",,,,"2x7@16, 1x6@16",,,,
Cable lateral raises,,,,,,,"1x10@3.4, 2x10@5.7",,,,,,,,,,,,,,,,,,,,,,,,,3x10@3.4,,,,,,3x12@3.4,,,"1x10@3.4, 2x10@5.7, 1x15@3.4",,"1x8@5.7, 1x10@5.7",3x10@9,,,,3x15@4.5,,,,,"2x12@4.5, 1x10@9",,,,,,,3x12@3.4,,,"2x10@5.7, 1x12@3.4, ",,,,,3x15@4.5,,,,,,"2x15@3.4, 1x20@3.4",,3x10@5.7,,,,,"2x8@5.7, 1x10@5.7",,"1x15@3.4, 1x15@5.7, 1x12@5.7, 1x10@5.7",,"2x10@5.7, 1x12@5.7, 1x15@5.7",
Cable front raises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3x12@3.4,,,,,,,,,3x12@3.4,,,3x10@9,,,,3x15@4.5,,,,,3x15@4.5,,,,,,,3x15@3.4,,,,,,,,3x15@4.5,,,,,,,,,,,,,,,,,,
Cable rear delts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2x10@5.7, 1x15@3.4",,,,,,,,,,"1x12@3.4, 1x8@3.4, ",,,,,,,,,,,,,4x10@3.4,,,,,,,,,"2x12@3.4, 1x12@5.7",,,,
Jerry flys ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1x12@6, 2x15@6",,,,,,,3x10@8,,,"1x10@8, 1x12@8, ",,,,,,,3x15@8,,,,,3x12@8,,,3x12@8,,,,3x8@8,,,,,,,
Barbell rows ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3x7@60,,,,,3x10@60,,,,,"1x10@40, 1x10@60, 1x10@62.5, 1x7@67.5",,,,,,,3x10@60,,"1x10@40, 3x10@60",,,3x10@70,,,,,,,,,,"2x7@60, ",,,,3x7@70
Knelt over DB rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3x10@30,,,,,,,,,"1x8@38, 2x10@30",,,,3x10@30,,,,,3x12@30,,,,3x8@34,,,,,,,,,"2x10@30, 1x12@30",,,,4x7@34
DB shoulder press [seat 7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2x10@22, 1x4@22",,,,3x7@14,,3x10@14,,,,"1x9@14, 3x12@14",,,
DB lateral  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4x14@6,,
Bayesian curls ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1x14@7.9, 2x10@7.9, ",,
